director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,description
James Cameron,CCH Pounder,Joel David Moore,Wes Studi,Action Adventure Fantasy Sci-Fi,Avatar,Avatar CCH Pounder Joel David Moore Wes Studi Action Adventure Fantasy Sci-Fi
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End Johnny Depp Orlando Bloom Jack Davenport Action Adventure Fantasy
Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Action Adventure Thriller,Spectre,Spectre Christoph Waltz Rory Kinnear Stephanie Sigman Action Adventure Thriller
Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Action Thriller,The Dark Knight Rises,The Dark Knight Rises Tom Hardy Christian Bale Joseph Gordon-Levitt Action Thriller
Doug Walker,Doug Walker,Rob Walker,unknown,Documentary,Star Wars: Episode VII - The Force Awakens            ,Star Wars: Episode VII - The Force Awakens             Doug Walker Rob Walker unknown Documentary
Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,Action Adventure Sci-Fi,John Carter,John Carter Daryl Sabara Samantha Morton Polly Walker Action Adventure Sci-Fi
Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Adventure Animation Comedy Family Fantasy Musical Romance,Tangled,Tangled Brad Garrett Donna Murphy M.C. Gainey Adventure Animation Comedy Family Fantasy Musical Romance
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,Avengers: Age of Ultron,Avengers: Age of Ultron Chris Hemsworth Robert Downey Jr. Scarlett Johansson Action Adventure Sci-Fi
David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince Alan Rickman Daniel Radcliffe Rupert Grint Adventure Family Fantasy Mystery
Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,Action Adventure Sci-Fi,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice Henry Cavill Lauren Cohan Alan D. Purwin Action Adventure Sci-Fi
Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,Action Adventure Sci-Fi,Superman Returns,Superman Returns Kevin Spacey Marlon Brando Frank Langella Action Adventure Sci-Fi
Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Action Adventure,Quantum of Solace,Quantum of Solace Giancarlo Giannini Mathieu Amalric Rory Kinnear Action Adventure
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest Johnny Depp Orlando Bloom Jack Davenport Action Adventure Fantasy
Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,Action Adventure Western,The Lone Ranger,The Lone Ranger Johnny Depp Ruth Wilson Tom Wilkinson Action Adventure Western
Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,Action Adventure Fantasy Sci-Fi,Man of Steel,Man of Steel Henry Cavill Christopher Meloni Harry Lennix Action Adventure Fantasy Sci-Fi
Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Action Adventure Family Fantasy,The Chronicles of Narnia: Prince Caspian,The Chronicles of Narnia: Prince Caspian Peter Dinklage Pierfrancesco Favino Damián Alcázar Action Adventure Family Fantasy
Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,Action Adventure Fantasy,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides Johnny Depp Sam Claflin Stephen Graham Action Adventure Fantasy
Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Action Adventure Comedy Family Fantasy Sci-Fi,Men in Black 3,Men in Black 3 Will Smith Michael Stuhlbarg Nicole Scherzinger Action Adventure Comedy Family Fantasy Sci-Fi
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies Aidan Turner Adam Brown James Nesbitt Adventure Fantasy
Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,Action Adventure Fantasy,The Amazing Spider-Man,The Amazing Spider-Man Emma Stone Andrew Garfield Chris Zylka Action Adventure Fantasy
Ridley Scott,Mark Addy,William Hurt,Scott Grimes,Action Adventure Drama History,Robin Hood,Robin Hood Mark Addy William Hurt Scott Grimes Action Adventure Drama History
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug Aidan Turner Adam Brown James Nesbitt Adventure Fantasy
Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,Adventure Family Fantasy,The Golden Compass,The Golden Compass Christopher Lee Eva Green Kristin Scott Thomas Adventure Family Fantasy
James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Drama Romance,Titanic,Titanic Leonardo DiCaprio Kate Winslet Gloria Stuart Drama Romance
Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Action Adventure Sci-Fi,Captain America: Civil War,Captain America: Civil War Robert Downey Jr. Scarlett Johansson Chris Evans Action Adventure Sci-Fi
Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Action Adventure Sci-Fi Thriller,Battleship,Battleship Liam Neeson Alexander Skarsgård Tadanobu Asano Action Adventure Sci-Fi Thriller
Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,Action Adventure Sci-Fi Thriller,Jurassic World,Jurassic World Bryce Dallas Howard Judy Greer Omar Sy Action Adventure Sci-Fi Thriller
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Fantasy Romance,Spider-Man 2,Spider-Man 2 J.K. Simmons James Franco Kirsten Dunst Action Adventure Fantasy Romance
Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,Action Adventure Sci-Fi,Iron Man 3,Iron Man 3 Robert Downey Jr. Jon Favreau Don Cheadle Action Adventure Sci-Fi
Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Action Adventure Fantasy Sci-Fi Thriller,X-Men: The Last Stand,X-Men: The Last Stand Hugh Jackman Kelsey Grammer Daniel Cudmore Action Adventure Fantasy Sci-Fi Thriller
Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,Adventure Animation Comedy Family Fantasy,Monsters University,Monsters University Steve Buscemi Tyler Labine Sean Hayes Adventure Animation Comedy Family Fantasy
Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Action Adventure Sci-Fi,Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen Glenn Morshower Kevin Dunn Ramon Rodriguez Action Adventure Sci-Fi
Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,Action Adventure Sci-Fi,Transformers: Age of Extinction,Transformers: Age of Extinction Bingbing Li Sophia Myles Kelsey Grammer Action Adventure Sci-Fi
Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,Action Adventure Fantasy Sci-Fi,The Amazing Spider-Man 2,The Amazing Spider-Man 2 Emma Stone Andrew Garfield B.J. Novak Action Adventure Fantasy Sci-Fi
John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Adventure Animation Comedy Family Sport,Cars 2,Cars 2 Joe Mantegna Thomas Kretschmann Eddie Izzard Adventure Animation Comedy Family Sport
Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,Action Adventure Sci-Fi,Green Lantern,Green Lantern Ryan Reynolds Temuera Morrison Taika Waititi Action Adventure Sci-Fi
Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,Adventure Animation Comedy Family Fantasy,Toy Story 3,Toy Story 3 Tom Hanks John Ratzenberger Don Rickles Adventure Animation Comedy Family Fantasy
McG,Christian Bale,Bryce Dallas Howard,Common,Action Adventure Sci-Fi,Terminator Salvation,Terminator Salvation Christian Bale Bryce Dallas Howard Common Action Adventure Sci-Fi
James Wan,Jason Statham,Paul Walker,Vin Diesel,Action Crime Thriller,Furious 7,Furious 7 Jason Statham Paul Walker Vin Diesel Action Crime Thriller
Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,Action Adventure Horror Sci-Fi Thriller,World War Z,World War Z Peter Capaldi Brad Pitt Mireille Enos Action Adventure Horror Sci-Fi Thriller
Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,X-Men: Days of Future Past,X-Men: Days of Future Past Jennifer Lawrence Peter Dinklage Hugh Jackman Action Adventure Fantasy Sci-Fi Thriller
J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Action Adventure Sci-Fi,Star Trek Into Darkness,Star Trek Into Darkness Benedict Cumberbatch Bruce Greenwood Noel Clarke Action Adventure Sci-Fi
Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,Adventure Fantasy,Jack the Giant Slayer,Jack the Giant Slayer Eddie Marsan Ewen Bremner Ralph Brown Adventure Fantasy
Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Action Adventure Fantasy Romance,Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time Jake Gyllenhaal Richard Coyle Reece Ritchie Action Adventure Fantasy Romance
Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Action Adventure Sci-Fi,Pacific Rim,Pacific Rim Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell Action Adventure Sci-Fi
Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,Action Adventure Sci-Fi,Transformers: Dark of the Moon,Transformers: Dark of the Moon Glenn Morshower Lester Speight Kevin Dunn Action Adventure Sci-Fi
Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,Action Adventure Fantasy,Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull Harrison Ford Ray Winstone Jim Broadbent Action Adventure Fantasy
Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,Adventure Animation Comedy Family Fantasy,The Good Dinosaur,The Good Dinosaur A.J. Buckley Jack McGraw Peter Sohn Adventure Animation Comedy Family Fantasy
Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Adventure Animation Comedy Family Fantasy,Brave,Brave Kelly Macdonald John Ratzenberger Julie Walters Adventure Animation Comedy Family Fantasy
Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Action Adventure Sci-Fi Thriller,Star Trek Beyond,Star Trek Beyond Sofia Boutella Melissa Roxburgh Lydia Wilson Action Adventure Sci-Fi Thriller
Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,Adventure Animation Family Sci-Fi,WALL·E,WALL·E John Ratzenberger Fred Willard Jeff Garlin Adventure Animation Family Sci-Fi
Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Action Comedy Crime Thriller,Rush Hour 3,Rush Hour 3 Tzi Ma Dana Ivey Noémie Lenoir Action Comedy Crime Thriller
Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,Action Adventure Sci-Fi,2012,2012 Oliver Platt Liam James Tom McCarthy Action Adventure Sci-Fi
Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Animation Drama Family Fantasy,A Christmas Carol,A Christmas Carol Robin Wright Colin Firth Gary Oldman Animation Drama Family Fantasy
Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,Action Adventure Sci-Fi,Jupiter Ascending,Jupiter Ascending Channing Tatum Mila Kunis Eddie Redmayne Action Adventure Sci-Fi
Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,Adventure Family Fantasy,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe Jim Broadbent Kiran Shah Shane Rangi Adventure Family Fantasy"
Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Action Adventure Sci-Fi,X-Men: Apocalypse,X-Men: Apocalypse Jennifer Lawrence Michael Fassbender Tye Sheridan Action Adventure Sci-Fi
Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Action Crime Drama Thriller,The Dark Knight,The Dark Knight Christian Bale Heath Ledger Morgan Freeman Action Crime Drama Thriller
Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,Adventure Animation Comedy Family,Up,Up John Ratzenberger Delroy Lindo Jess Harnell Adventure Animation Comedy Family
Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Action Adventure Animation Comedy Family Sci-Fi,Monsters vs. Aliens,Monsters vs. Aliens Amy Poehler Rainn Wilson Stephen Colbert Action Adventure Animation Comedy Family Sci-Fi
Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Action Adventure Sci-Fi,Iron Man,Iron Man Robert Downey Jr. Jeff Bridges Jon Favreau Action Adventure Sci-Fi
Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Adventure Drama Family Mystery,Hugo,Hugo Chloë Grace Moretz Christopher Lee Ray Winstone Adventure Drama Family Mystery
